Final_Liquid Inlet-SIM,Final_Gas Inlet-SIM,Gas Outlet_16-SIM
0.00223,0,0.001889815
0.002330533,0,0.001973686
0.002431893,0,0.002058132
0.002534091,0,0.00214316
0.002637137,0,0.002228776
0.002741042,0,0.002314985
0.002845816,0,0.002401795
0.002951471,0,0.002489211
0.003058017,0,0.00257724
0.003165466,0,0.002665888
0.00327383,0,0.002755161
0.00338312,0,0.002845066
0.003493348,0,0.00293561
0.003604526,0,0.0030268
0.003716667,0,0.003118642
0.003829783,0,0.003211143
0.003943886,0,0.003304311
0.004058991,0,0.003398153
0.00417511,0,0.003492675
0.004292257,0,0.003587886
0.004410444,0,0.003683792
0.004529688,0,0.003780402
0.00465,0,0.003877723
0.004771396,0,0.003975763
0.004893891,0,0.004074529
0.0050175,0,0.004174031
0.005142237,0,0.004274275
0.005268119,0,0.004375271
0.005395161,0,0.004477027
0.00552338,0,0.00457955
0.005652791,0,0.004682851
0.005783411,0,0.004786937
0.005915258,0,0.004891818
0.006048349,0,0.004997503
0.006182701,0,0.005104
0.006318333,0,0.00521132
0.006455263,0,0.005319471
0.00659351,0,0.005428464
0.006733092,0,0.005538308
0.006874029,0,0.005649013
0.007016341,0,0.005760588
0.007160049,0,0.005873045
0.007305172,0,0.005986394
0.007451733,0,0.006100645
0.007599751,0,0.006215809
0.00774925,0,0.006331897
0.007900251,0,0.00644892
0.008052778,0,0.006566889
0.008206853,0,0.006685816
0.0083625,0,0.006805712
0.00223,0.001457726,0.001642396
0.002330533,0.001457726,0.001724699
0.002431893,0.001457726,0.001807579
0.002534091,0.001457726,0.001891041
0.002637137,0.001457726,0.001975088
0.002741042,0.001457726,0.002059726
0.002845816,0.001457726,0.002144958
0.002951471,0.001457726,0.002230791
0.003058017,0.001457726,0.00231723
0.003165466,0.001457726,0.002404279
0.00327383,0.001457726,0.002491945
0.00338312,0.001457726,0.002580234
0.003493348,0.001457726,0.002669152
0.003604526,0.001457726,0.002758704
0.003716667,0.001457726,0.002848897
0.003829783,0.001457726,0.002939738
0.003943886,0.001457726,0.003031233
0.004058991,0.001457726,0.003123388
0.00417511,0.001457726,0.003216211
0.004292257,0.001457726,0.003309709
0.004410444,0.001457726,0.003403887
0.004529688,0.001457726,0.003498755
0.00465,0.001457726,0.003594318
0.004771396,0.001457726,0.003690585
0.004893891,0.001457726,0.003787563
0.0050175,0.001457726,0.003885259
0.005142237,0.001457726,0.003983682
0.005268119,0.001457726,0.004082839
0.005395161,0.001457726,0.004182738
0.00552338,0.001457726,0.004283388
0.005652791,0.001457726,0.004384796
0.005783411,0.001457726,0.004486972
0.005915258,0.001457726,0.004589924
0.006048349,0.001457726,0.00469366
0.006182701,0.001457726,0.004798189
0.006318333,0.001457726,0.004903521
0.006455263,0.001457726,0.005009664
0.00659351,0.001457726,0.005116628
0.006733092,0.001457726,0.005224422
0.006874029,0.001457726,0.005333055
0.007016341,0.001457726,0.005442538
0.007160049,0.001457726,0.00555288
0.007305172,0.001457726,0.005664092
0.007451733,0.001457726,0.005776182
0.007599751,0.001457726,0.005889163
0.00774925,0.001457726,0.006003043
0.007900251,0.001457726,0.006117835
0.008052778,0.001457726,0.006233548
0.008206853,0.001457726,0.006350194
0.0083625,0.001457726,0.006467783
0.00223,0.002915452,0.001410855
0.002330533,0.002915452,0.001491109
0.002431893,0.002915452,0.001571993
0.002534091,0.002915452,0.001653504
0.002637137,0.002915452,0.001735637
0.002741042,0.002915452,0.001818391
0.002845816,0.002915452,0.001901766
0.002951471,0.002915452,0.001985761
0.003058017,0.002915452,0.002070379
0.003165466,0.002915452,0.002155621
0.00327383,0.002915452,0.00224149
0.00338312,0.002915452,0.002327989
0.003493348,0.002915452,0.002415122
0.003604526,0.002915452,0.002502894
0.003716667,0.002915452,0.002591307
0.003829783,0.002915452,0.002680368
0.003943886,0.002915452,0.002770081
0.004058991,0.002915452,0.002860452
0.00417511,0.002915452,0.002951486
0.004292257,0.002915452,0.003043189
0.004410444,0.002915452,0.003135566
0.004529688,0.002915452,0.003228626
0.00465,0.002915452,0.003322372
0.004771396,0.002915452,0.003416813
0.004893891,0.002915452,0.003511955
0.0050175,0.002915452,0.003607805
0.005142237,0.002915452,0.00370437
0.005268119,0.002915452,0.003801657
0.005395161,0.002915452,0.003899674
0.00552338,0.002915452,0.003998428
0.005652791,0.002915452,0.004097927
0.005783411,0.002915452,0.004198179
0.005915258,0.002915452,0.004299192
0.006048349,0.002915452,0.004400974
0.006182701,0.002915452,0.004503533
0.006318333,0.002915452,0.004606878
0.006455263,0.002915452,0.004711017
0.00659351,0.002915452,0.00481596
0.006733092,0.002915452,0.004921714
0.006874029,0.002915452,0.00502829
0.007016341,0.002915452,0.005135697
0.007160049,0.002915452,0.005243943
0.007305172,0.002915452,0.005353039
0.007451733,0.002915452,0.005462994
0.007599751,0.002915452,0.005573817
0.00774925,0.002915452,0.00568552
0.007900251,0.002915452,0.005798113
0.008052778,0.002915452,0.005911604
0.008206853,0.002915452,0.006026006
0.0083625,0.002915452,0.006141329
0.00223,0.004373178,0.001198693
0.002330533,0.004373178,0.001276041
0.002431893,0.004373178,0.001354177
0.002534091,0.004373178,0.00143307
0.002637137,0.004373178,0.001512698
0.002741042,0.004373178,0.001593041
0.002845816,0.004373178,0.001674086
0.002951471,0.004373178,0.00175582
0.003058017,0.004373178,0.001838235
0.003165466,0.004373178,0.001921326
0.00327383,0.004373178,0.002005086
0.00338312,0.004373178,0.002089513
0.003493348,0.004373178,0.002174605
0.003604526,0.004373178,0.002260362
0.003716667,0.004373178,0.002346784
0.003829783,0.004373178,0.002433871
0.003943886,0.004373178,0.002521626
0.004058991,0.004373178,0.002610051
0.00417511,0.004373178,0.002699149
0.004292257,0.004373178,0.002788923
0.004410444,0.004373178,0.002879378
0.004529688,0.004373178,0.002970518
0.00465,0.004373178,0.003062347
0.004771396,0.004373178,0.00315487
0.004893891,0.004373178,0.003248093
0.0050175,0.004373178,0.003342021
0.005142237,0.004373178,0.00343666
0.005268119,0.004373178,0.003532017
0.005395161,0.004373178,0.003628097
0.00552338,0.004373178,0.003724907
0.005652791,0.004373178,0.003822454
0.005783411,0.004373178,0.003920745
0.005915258,0.004373178,0.004019787
0.006048349,0.004373178,0.004119588
0.006182701,0.004373178,0.004220154
0.006318333,0.004373178,0.004321494
0.006455263,0.004373178,0.004423616
0.00659351,0.004373178,0.004526528
0.006733092,0.004373178,0.004630237
0.006874029,0.004373178,0.004734753
0.007016341,0.004373178,0.004840085
0.007160049,0.004373178,0.00494624
0.007305172,0.004373178,0.005053228
0.007451733,0.004373178,0.005161058
0.007599751,0.004373178,0.005269739
0.00774925,0.004373178,0.005379282
0.007900251,0.004373178,0.005489695
0.008052778,0.004373178,0.005600988
0.008206853,0.004373178,0.005713171
0.0083625,0.004373178,0.005826256
0.00223,0.005830904,0.001010564
0.002330533,0.005830904,0.001083651
